Bank,Country
ANZ,Australia
Agricultural Bank of China,China
BBVA,Spain
BNP Paribas,France
BPCE/Natixis,France
Bank of America,United States
Bank of China,China
Bank of Communications,China
Bank of Montreal,Canada
Barclays,United Kingdom
CIBC,Canada
CaixaBank,Spain
China CITIC Bank,China
China Construction Bank,China
China Everbright Bank,China
China Merchants Bank,China
China Minsheng Bank,China
Citi,United States
Commerzbank,Germany
Commonwealth Bank,Australia
Credit Suisse,Switzerland
Crédit Agricole,France
DZ Bank,Germany
Danske Bank,Denmark
Deutsche Bank,Germany
Goldman Sachs,United States
HSBC,United Kingdom
ICBC,China
ING,Netherlands
Industrial Bank,China
Intesa Sanpaolo,Italy
JPMorgan Chase,United States
KB Financial,South Korea
Lloyds,United Kingdom
MUFG,Japan
Mizuho,Japan
Morgan Stanley,United States
NAB,Australia
NatWest,United Kingdom
Nordea Bank,Finland
PNC,United States
Ping An Insurance Group,China
Postal Savings Bank of China,China
RBC,Canada
Rabobank,Netherlands
SMBC Group,Japan
Santander,Spain
Scotiabank,Canada
Shanghai Pudong Development Bank,China
Société Générale,France
Standard Chartered,United Kingdom
State Bank of India,India
TD,Canada
UBS,Switzerland
US Bancorp,United States
UniCredit,Italy
Wells Fargo,United States
Westpac,None
